MSD;Features;Lexical entries;Examples of usage
Di3ms;Determiner Type=indefinite Person=third Gender=masculine Number=singular;2;puţin, anumit
Di3msr;Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct;4;tot, mult, câtva, atât
Di3msr---e;Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin;2;vreun, alt
Di3msr--y;Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct Clitic=yes;1;-atât/atât
Di3mso---e;Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin;7;vreunui/vreun, orişicărui/orişicare, oricărui/oricare, fiecărui/fiecare
Di3mp;Determiner Type=indefinite Person=third Gender=masculine Number=plural;3;puţini/puţin, mulţi/mult, anumiţi/anumit
Di3mpr;Determiner Type=indefinite Person=third Gender=masculine Number=plural Case=direct;5;toţi/tot, câţiva/câtva, atâţi/atât, atâţia/atât, -atâţia/atât
Di3mpr---e;Determiner Type=indefinite Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin;3;vreunii/vreun, unii/un, alţi/alt
Di3fsr;Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=direct;5;toată/tot, puţină/puţin, multă/mult, câtăva/câtva, anumită/anumit
Di3fsr---e;Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin;2;vreo/vreun, altă/alt
Di3fso;Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=oblique;3;puţine/puţin, multe/mult, anumite/anumit
Di3fso---e;Determiner Type=indefinite Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin;7;vreunei/vreun, orişicărei/orişicare, oricărei/oricare, fiecărei/fiecare
Di3fp;Determiner Type=indefinite Person=third Gender=feminine Number=plural;3;puţine/puţin, multe/mult, anumite/anumit
Di3fpr;Determiner Type=indefinite Person=third Gender=feminine Number=plural Case=direct;3;toate/tot, câteva/câtva, atâtea/atât
Di3fpr---e;Determiner Type=indefinite Person=third Gender=feminine Number=plural Case=direct Modific_Type=prenomin;3;vreunele/vreun, unele/un, alte/alt
Ds1ms-s;Determiner Type=possessive Person=first Gender=masculine Number=singular Owner_Number=singular;1;meu
Ds1ms-p;Determiner Type=possessive Person=first Gender=masculine Number=singular Owner_Number=plural;1;nostru
Ds1msrs-y;Determiner Type=possessive Person=first Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes;2;-miu/meu, -meu/meu
Ds1mp-s;Determiner Type=possessive Person=first Gender=masculine Number=plural Owner_Number=singular;1;mei/meu
Ds1mp-p;Determiner Type=possessive Person=first Gender=masculine Number=plural Owner_Number=plural;1;noştri/nostru
Ds1fsrs;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular;1;mea/meu
Ds1fsrs-y;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes;1;-mea/mea
Ds1fsrp;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=plural;1;noastră/nostru
Ds1fsos;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=singular;1;mele/meu
Ds1fsos-y;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes;1;-mii/mea
Ds1fsop;Determiner Type=possessive Person=first Gender=feminine Number=singular Case=oblique Owner_Number=plural;1;noastre/nostru
Ds1fp-s;Determiner Type=possessive Person=first Gender=feminine Number=plural Owner_Number=singular;1;mele/meu
Ds1fp-p;Determiner Type=possessive Person=first Gender=feminine Number=plural Owner_Number=plural;1;noastre/nostru
Ds2ms-s;Determiner Type=possessive Person=second Gender=masculine Number=singular Owner_Number=singular;1;tău
Ds2ms-p;Determiner Type=possessive Person=second Gender=masculine Number=singular Owner_Number=plural;1;vostru
Ds2msrs-y;Determiner Type=possessive Person=second Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes;2;-tu/tău, -tău/tău
Ds2mp-s;Determiner Type=possessive Person=second Gender=masculine Number=plural Owner_Number=singular;1;tăi/tău
Ds2mp-p;Determiner Type=possessive Person=second Gender=masculine Number=plural Owner_Number=plural;1;voştri/vostru
Ds2fsrs;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular;1;ta/tău
Ds2fsrs-y;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes;1;-ta/ta
Ds2fsrp;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=plural;1;voastră/vostru
Ds2fsos;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=singular;1;tale/tău
Ds2fsos-y;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes;1;-tii/ta
Ds2fsop;Determiner Type=possessive Person=second Gender=feminine Number=singular Case=oblique Owner_Number=plural;1;voastre/vostru
Ds2fp-s;Determiner Type=possessive Person=second Gender=feminine Number=plural Owner_Number=singular;1;tale/tău
Ds2fp-p;Determiner Type=possessive Person=second Gender=feminine Number=plural Owner_Number=plural;1;voastre/vostru
Ds3ms-s;Determiner Type=possessive Person=third Gender=masculine Number=singular Owner_Number=singular;1;său
Ds3msrs-y;Determiner Type=possessive Person=third Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes;2;-su/său, -său/său
Ds3mp-s;Determiner Type=possessive Person=third Gender=masculine Number=plural Owner_Number=singular;1;săi/său
Ds3fsrs;Determiner Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular;1;sa/său
Ds3fsrs-y;Determiner Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular Clitic=yes;1;-sa/sa
Ds3fsos;Determiner Type=possessive Person=third Gender=feminine Number=singular Case=oblique Owner_Number=singular;1;sale/său
Ds3fsos-y;Determiner Type=possessive Person=third Gender=feminine Number=singular Case=oblique Owner_Number=singular Clitic=yes;1;-sii/sa
Ds3fp-s;Determiner Type=possessive Person=third Gender=feminine Number=plural Owner_Number=singular;1;sale/său
Dw3--r---e;Determiner Type=int-rel Person=third Case=direct Modific_Type=prenomin;2;ce, care
Dw3-po;Determiner Type=int-rel Person=third Number=plural Case=oblique;1;câtor/cât
Dw3-po---e;Determiner Type=int-rel Person=third Number=plural Case=oblique Modific_Type=prenomin;1;căror/care
Dw3msr;Determiner Type=int-rel Person=third Gender=masculine Number=singular Case=direct;2;câtelea, cât
Dw3mso---e;Determiner Type=int-rel Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin;1;cărui/care
Dw3mpr;Determiner Type=int-rel Person=third Gender=masculine Number=plural Case=direct;1;câţi/cât
Dw3fsr;Determiner Type=int-rel Person=third Gender=feminine Number=singular Case=direct;2;câta/câtelea, câtă/cât
Dw3fso---e;Determiner Type=int-rel Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin;1;cărei/care
Dw3fpr;Determiner Type=int-rel Person=third Gender=feminine Number=plural Case=direct;1;câte/cât
Dz3-po---e;Determiner Type=negative Person=third Number=plural Case=oblique Modific_Type=prenomin;1;nici_unor/nici_un
Dz3msr---e;Determiner Type=negative Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin;1;nici_un
Dz3mso---e;Determiner Type=negative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin;1;nici_unui/nici_un
Dz3mpr---e;Determiner Type=negative Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin;1;nici_unii/nici_un
Dz3fsr---e;Determiner Type=negative Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin;2;nici-o/nici_un, nici_o/nici_un
Dz3fso---e;Determiner Type=negative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin;1;nici_unei/nici_un
Dh1ms;Determiner Type=emphatic Person=first Gender=masculine Number=singular;1;însumi
Dh1mp;Determiner Type=emphatic Person=first Gender=masculine Number=plural;1;înşine/însumi
Dh1fsr;Determiner Type=emphatic Person=first Gender=feminine Number=singular Case=direct;1;însămi/însumi
Dh1fso;Determiner Type=emphatic Person=first Gender=feminine Number=singular Case=oblique;1;însemi/însumi
Dh1fp;Determiner Type=emphatic Person=first Gender=feminine Number=plural;1;însene/însumi
Dh2ms;Determiner Type=emphatic Person=second Gender=masculine Number=singular;1;însuţi/însumi
Dh2mp;Determiner Type=emphatic Person=second Gender=masculine Number=plural;1;înşivă/însumi
Dh2fsr;Determiner Type=emphatic Person=second Gender=feminine Number=singular Case=direct;1;însăţi/însumi
Dh2fso;Determiner Type=emphatic Person=second Gender=feminine Number=singular Case=oblique;1;înseţi/însumi
Dh2fp;Determiner Type=emphatic Person=second Gender=feminine Number=plural;1;însevă/însumi
Dh3ms;Determiner Type=emphatic Person=third Gender=masculine Number=singular;1;însuşi/însumi
Dh3mp;Determiner Type=emphatic Person=third Gender=masculine Number=plural;1;înşişi/însumi
Dh3fsr;Determiner Type=emphatic Person=third Gender=feminine Number=singular Case=direct;1;însăşi/însumi
Dh3fso;Determiner Type=emphatic Person=third Gender=feminine Number=singular Case=oblique;1;înseşi/însumi
Dh3fp;Determiner Type=emphatic Person=third Gender=feminine Number=plural;2;înseşi/însumi, însele/însumi
Tf-so;Article Type=definite Number=singular Case=oblique;1;lui
Tfms-y;Article Type=definite Gender=masculine Number=singular Clitic=yes;1;-lea
Tfmsry;Article Type=definite Gender=masculine Number=singular Case=direct Clitic=yes;2;-ul, -istul
Tfmsoy;Article Type=definite Gender=masculine Number=singular Case=oblique Clitic=yes;2;-ului, -istului
Tfmpry;Article Type=definite Gender=masculine Number=plural Case=direct Clitic=yes;1;-iştii
Tfmpoy;Article Type=definite Gender=masculine Number=plural Case=oblique Clitic=yes;2;-iştilor, -ilor
Tffs-y;Article Type=definite Gender=feminine Number=singular Clitic=yes;1;-a
Tffsoy;Article Type=definite Gender=feminine Number=singular Case=oblique Clitic=yes;1;-istei
Tffpry;Article Type=definite Gender=feminine Number=plural Case=direct Clitic=yes;2;-urile, -istele
Tffpoy;Article Type=definite Gender=feminine Number=plural Case=oblique Clitic=yes;2;-urilor, -istelor
Ti-po;Article Type=indefinite Number=plural Case=oblique;1;unor/un
Timsr;Article Type=indefinite Gender=masculine Number=singular Case=direct;2;un, -un/un
Timsry;Article Type=indefinite Gender=masculine Number=singular Case=direct Clitic=yes;1;-ist
Timso;Article Type=indefinite Gender=masculine Number=singular Case=oblique;1;unui/un
Timp-y;Article Type=indefinite Gender=masculine Number=plural Clitic=yes;2;-işti, -i
Tifsr;Article Type=indefinite Gender=feminine Number=singular Case=direct;2;o/un, -o/un
Tifsry;Article Type=indefinite Gender=feminine Number=singular Case=direct Clitic=yes;1;-istă
Tifso;Article Type=indefinite Gender=feminine Number=singular Case=oblique;1;unei/un
Tifsoy;Article Type=indefinite Gender=feminine Number=singular Case=oblique Clitic=yes;1;-iste
Tifp-y;Article Type=indefinite Gender=feminine Number=plural Clitic=yes;2;-uri, -iste
Ts-po;Article Type=possessive Number=plural Case=oblique;1;alor/al
Tsms;Article Type=possessive Gender=masculine Number=singular;2;al, -al/al
Tsmp;Article Type=possessive Gender=masculine Number=plural;1;ai/al
Tsfs;Article Type=possessive Gender=feminine Number=singular;1;a/al
Tsfp;Article Type=possessive Gender=feminine Number=plural;1;ale/al
Td-po;Article Type=demonstrative Number=plural Case=oblique;1;celor/cel
Tdmsr;Article Type=demonstrative Gender=masculine Number=singular Case=direct;1;cel
Tdmso;Article Type=demonstrative Gender=masculine Number=singular Case=oblique;1;celui/cel
Tdmpr;Article Type=demonstrative Gender=masculine Number=plural Case=direct;1;cei/cel
Tdfsr;Article Type=demonstrative Gender=feminine Number=singular Case=direct;1;cea/cel
Tdfso;Article Type=demonstrative Gender=feminine Number=singular Case=oblique;1;celei/cel
Tdfpr;Article Type=demonstrative Gender=feminine Number=plural Case=direct;1;cele/cel
Rgp;Adverb Type=general Degree=positive;1262;zi-de-zi, zi_de_zi, zelos, zdravăn, zadarnic, vultureşte, vulpeşte
Rgpy;Adverb Type=general Degree=positive Clitic=yes;57;tocma'/tocmai, parc-/parcă, numa'/numai, -ntruna/întruna, -ntrucâtva/întrucâtva
Rgc;Adverb Type=general Degree=comparative;3;superior, succesiv, din_ce_în_ce_mai
Rgs;Adverb Type=general Degree=superlative;12;straşnic, preafrumos, perfect, nespus, nemaipomenit, extrem, extraordinar
Rp;Adverb Type=particle;7;tot, tot_atât_de, prea, mai, la_fel_de, foarte, cam
Rp-y;Adverb Type=particle Clitic=yes;2;to'/tot, ma'/mai
Rz;Adverb Type=negative;10;niciunde, niciodată, nici, nicidecum, nicidecât, nicicum, nicicând
Rw;Adverb Type=int-rel;17;unde, precum, pe_cât, oareşicum, oareşicând, oare, încotro, după_cât
Rw-y;Adverb Type=int-rel Clitic=yes;1;cân'/când
Rc;Adverb Type=portmanteau;7;în_loc, iar, iară, dicât/decât, decât, dăcât/decât, ca
Spsg;Adposition Type=preposition Formation=simple Case=genitive;18;primprejurul, jurul, înlăuntrul, îndărătul, înăuntrul, înapoia
Spsgy;Adposition Type=preposition Formation=simple Case=genitive Clitic=yes;3;-naintea/înaintea, -mpotriva/împotriva, asupră/asupra
Spsd;Adposition Type=preposition Formation=simple Case=dative;7;potrivit, mulţumită, întocmai, graţie, datorită, conform, aidoma
Spsa;Adposition Type=preposition Formation=simple Case=accusative;35;sub, spre, pro, printru, printre, prin, peste, per, pe
Spsay;Adposition Type=preposition Formation=simple Case=accusative Clitic=yes;28;printr-/printru, p'/pe, p-/pe, pe-/pe, pentr-/pentru, pân-/prin
Spcg;Adposition Type=preposition Formation=compound Case=genitive;48;prin_preajma, prin_jurul, prin_intermediul, prin_faţa, pe_potriva
Spca;Adposition Type=preposition Formation=compound Case=accusative;39;potrivit_cu, pe_sub, pe_la, pe_lângă, pe_după, pân-la/până_la
Ccssp;Conjunction Type=coordinating Formation=simple Coord_Type=simple Sub_Type=positive;12;sau, or, ori, însă, fie, deci, darmite, dar, darămite
Ccsspy;Conjunction Type=coordinating Formation=simple Coord_Type=simple Sub_Type=positive Clitic=yes;4;ş-/şi, or'/ori, -nsă/însă, da'/dar
Cccsp;Conjunction Type=coordinating Formation=compound Coord_Type=simple Sub_Type=positive;2;va_să_zică, aşa_că
Csssp;Conjunction Type=subordinating Formation=simple Coord_Type=simple Sub_Type=positive;11;până, întrucât, încât, fiindcă, fără, deşi, deoarece, de, dacă
Cssspy;Conjunction Type=subordinating Formation=simple Coord_Type=simple Sub_Type=positive Clitic=yes;7;pân-/până, pân/până, până-/până, fiindc-/fiindcă, de-/de, dac-/dacă
Cscsp;Conjunction Type=subordinating Formation=compound Coord_Type=simple Sub_Type=positive;35;precum_şi, pentru_că, pentru_ca, pe_măsură_ce, pe_câtă_vreme
Crssp;Conjunction Type=portmanteau Formation=simple Coord_Type=simple Sub_Type=positive;4;ş'/şi, şî/şi, şi-/şi, şi
Mc-s-d;Numeral Type=cardinal Number=singular Form=digit;27;99, 98, 85, 6079, 4, 2713, 2, 2050, 20
Mc-p-l;Numeral Type=cardinal Number=plural Form=letter;64;zero, zero-opt-treizeci, zece, zece-unsprezece, zece-mia, zece-douăzeci
Mcms-ln;Numeral Type=cardinal Gender=masculine Number=singular Form=letter Definiteness=no;2;milion, miliard
Mcmsrl;Numeral Type=cardinal Gender=masculine Number=singular Case=direct Form=letter;1;unu
Mcmsrly;Numeral Type=cardinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes;3;unul/unu, milionul/milion, miliardul/miliard
Mcmsoly;Numeral Type=cardinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes;3;unului/unu, milionului/milion, miliardului/miliard
Mcmp-l;Numeral Type=cardinal Gender=masculine Number=plural Form=letter;3;doisprezece, doişpe, doi
Mcfsrln;Numeral Type=cardinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no;3;zece, sută, mie
Mcfsrly;Numeral Type=cardinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes;2;suta/sută, mia/mie
Mcfsoln;Numeral Type=cardinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no;3;zeci/zece, sute/sută, mii/mie
Mcfsoly;Numeral Type=cardinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes;3;zecii/zece, sutei/sută, miei/mie
Mcfp-l;Numeral Type=cardinal Gender=feminine Number=plural Form=letter;3;douăsprezece/doisprezece, douăşpe/doişpe, două/doi
Mcfp-ln;Numeral Type=cardinal Gender=feminine Number=plural Form=letter Definiteness=no;3;zeci/zece, sute/sută, mii/mie
Mcfprln;Numeral Type=cardinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=no;2;milioane/milion, miliarde/miliard
Mcfprly;Numeral Type=cardinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes;5;zecile/zece, sutele/sută, milioanele/milion, miliardele/miliard
Mcfpoly;Numeral Type=cardinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes;5;zecilor/zece, sutelor/sută, milioanelor/milion, miliardelor/miliard
Mo---l;Numeral Type=ordinal Form=letter;1;dintâi
Mo---ln;Numeral Type=ordinal Form=letter Definiteness=no;1;întâi
Mo---lny;Numeral Type=ordinal Form=letter Definiteness=no Clitic=yes;1;-ntâi/întâi
Mo-s-r;Numeral Type=ordinal Number=singular Form=roman;42;X/zece, xx, XXX/treizeci, xxvi, x, xxix, xxiv, xxii, xxiii
Moms-l;Numeral Type=ordinal Gender=masculine Number=singular Form=letter;37;zecelea/zece, unulea/unu, unsprezecelea/unsprezece, unşpelea/unsprezece
Moms-ln;Numeral Type=ordinal Gender=masculine Number=singular Form=letter Definiteness=no;3;ultim, prim, penultim
Momsrly;Numeral Type=ordinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes;4;ultimul/ultim, primul/prim, penultimul/penultim, întâiul/întâi
Momsrlyy;Numeral Type=ordinal Gender=masculine Number=singular Case=direct Form=letter Definiteness=yes Clitic=yes;1;-ntâiul/întâi
Momsoly;Numeral Type=ordinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes;4;ultimului/ultim, primului/prim, penultimului/penultim, întâiului/întâi
Momsolyy;Numeral Type=ordinal Gender=masculine Number=singular Case=oblique Form=letter Definiteness=yes Clitic=yes;1;-ntâiului/întâi
Momp-ln;Numeral Type=ordinal Gender=masculine Number=plural Form=letter Definiteness=no;3;ultimi/ultim, primi/prim, penultimi/penultim
Momprly;Numeral Type=ordinal Gender=masculine Number=plural Case=direct Form=letter Definiteness=yes;4;ultimii/ultim, primii/prim, penultimii/penultim, întâii/întâi
Momprlyy;Numeral Type=ordinal Gender=masculine Number=plural Case=direct Form=letter Definiteness=yes Clitic=yes;1;-ntâii/întâi
Mompoly;Numeral Type=ordinal Gender=masculine Number=plural Case=oblique Form=letter Definiteness=yes;4;ultimilor/ultim, primilor/prim, penultimilor/penultim, întâilor/întâi
Mompolyy;Numeral Type=ordinal Gender=masculine Number=plural Case=oblique Form=letter Definiteness=yes Clitic=yes;1;-ntâilor/întâi
Mofs-l;Numeral Type=ordinal Gender=feminine Number=singular Form=letter;37;zecea/zece, unsprezecea/unsprezece, unşpea/unsprezece, treizecea/treizeci
Mofsrln;Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no;3;ultimă/ultim, primă/prim, penultimă/penultim
Mofsrly;Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes;5;ultima/ultim, prima/prim, penultima/penultim, întâiaşi/întâi
Mofsrlyy;Numeral Type=ordinal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes Clitic=yes;2;-ntâiaşi/întâi, -ntâia/întâi
Mofsoln;Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no;3;ultime/ultim, prime/prim, penultime/penultim
Mofsoly;Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes;4;ultimei/ultim, primei/prim, penultimei/penultim, întâii/întâi
Mofsolyy;Numeral Type=ordinal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes Clitic=yes;1;-ntâii/întâi
Mofp-ln;Numeral Type=ordinal Gender=feminine Number=plural Form=letter Definiteness=no;3;ultime/ultim, prime/prim, penultime/penultim
Mofprly;Numeral Type=ordinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes;4;ultimele/ultim, primele/prim, penultimele/penultim, întâile/întâi
Mofprlyy;Numeral Type=ordinal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes Clitic=yes;1;-ntâile/întâi
Mofpoly;Numeral Type=ordinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes;4;ultimelor/ultim, primelor/prim, penultimelor/penultim, întâilor/întâi
Mofpolyy;Numeral Type=ordinal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes Clitic=yes;1;-ntâilor/întâi
Mffsrln;Numeral Type=fractal Gender=feminine Number=singular Case=direct Form=letter Definiteness=no;22;zecime, unsprezecime, treisprezecime, treime, sutime, şesime
Mffsrly;Numeral Type=fractal Gender=feminine Number=singular Case=direct Form=letter Definiteness=yes;22;zecimea/zecime, unsprezecimea/unsprezecime, treisprezecimea/treisprezecime
Mffsoln;Numeral Type=fractal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=no;22;zecimi/zecime, unsprezecimi/unsprezecime, treisprezecimi/treisprezecime
Mffsoly;Numeral Type=fractal Gender=feminine Number=singular Case=oblique Form=letter Definiteness=yes;22;zecimii/zecime, unsprezecimii/unsprezecime, treisprezecimii/treisprezecime
Mffprln;Numeral Type=fractal Gender=feminine Number=plural Case=direct Form=letter Definiteness=no;22;zecimi/zecime, unsprezecimi/unsprezecime, treisprezecimi/treisprezecime
Mffprly;Numeral Type=fractal Gender=feminine Number=plural Case=direct Form=letter Definiteness=yes;22;zecimile/zecime, unsprezecimile/unsprezecime, treisprezecimile/treisprezecime
Mffpoly;Numeral Type=fractal Gender=feminine Number=plural Case=oblique Form=letter Definiteness=yes;22;zecimilor/zecime, unsprezecimilor/unsprezecime, treisprezecimilor/treisprezecime
Mmmsr-n;Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=no;9;înzecit, întreit, însutit, înşesit, înşeptit, înmiit, îndoit
Mmmsr-ny;Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=no Clitic=yes;9;-nzecit/înzecit, -ntreit/întreit, -nsutit/însutit, -nşesit/înşesit
Mmmsr-y;Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=yes;9;înzecitul/înzecit, întreitul/întreit, însutitul/însutit, înşesitul/înşesit
Mmmsr-yy;Numeral Type=multiple Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes;9;-nzecitul/înzecit, -ntreitul/întreit, -nsutitul/însutit, -nşesitul/înşesit
Mmmso-y;Numeral Type=multiple Gender=masculine Number=singular Case=oblique Definiteness=yes;9;înzecitului/înzecit, întreitului/întreit, însutitului/însutit
Mmmso-yy;Numeral Type=multiple Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes;9;-nzecitului/înzecit, -ntreitului/întreit, -nsutitului/însutit
Mmmpr-n;Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=no;9;înzeciţi/înzecit, întreiţi/întreit, însutiţi/însutit, înşesiţi/înşesit
Mmmpr-ny;Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=no Clitic=yes;9;-nzeciţi/înzecit, -ntreiţi/întreit, -nsutiţi/însutit, -nşesiţi/înşesit
Mmmpr-y;Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=yes;9;înzeciţii/înzecit, întreiţii/întreit, însutiţii/însutit, înşesiţii/înşesit
Mmmpr-yy;Numeral Type=multiple Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes;9;-nzeciţii/înzecit, -ntreiţii/întreit, -nsutiţii/însutit, -nşesiţii/înşesit
Mmmpo-y;Numeral Type=multiple Gender=masculine Number=plural Case=oblique Definiteness=yes;9;înzeciţilor/înzecit, întreiţilor/întreit, însutiţilor/însutit
Mmmpo-yy;Numeral Type=multiple Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes;9;-nzeciţilor/înzecit, -ntreiţilor/întreit, -nsutiţilor/însutit
Mmfsr-n;Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=no;9;înzecită/înzecit, întreită/întreit, însutită/însutit, înşesită/înşesit
Mmfsr-ny;Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes;9;-nzecită/înzecit, -ntreită/întreit, -nsutită/însutit, -nşesită/înşesit
Mmfsr-y;Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=yes;9;înzecita/înzecit, întreita/întreit, însutita/însutit, înşesita/înşesit
Mmfsr-yy;Numeral Type=multiple Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes;9;-nzecita/înzecit, -ntreita/întreit, -nsutita/însutit, -nşesita/înşesit
Mmfso-n;Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=no;9;înzecite/înzecit, întreite/întreit, însutite/însutit, înşesite/înşesit
Mmfso-ny;Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes;9;-nzecite/înzecit, -ntreite/întreit, -nsutite/însutit, -nşesite/înşesit
Mmfso-y;Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=yes;9;înzecitei/înzecit, întreitei/întreit, însutitei/însutit, înşesitei/înşesit
Mmfso-yy;Numeral Type=multiple Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes;9;-nzecitei/înzecit, -ntreitei/întreit, -nsutitei/însutit, -nşesitei/înşesit
Mmfp--n;Numeral Type=multiple Gender=feminine Number=plural Definiteness=no;9;înzecite/înzecit, întreite/întreit, însutite/însutit, înşesite/înşesit
Mmfp--ny;Numeral Type=multiple Gender=feminine Number=plural Definiteness=no Clitic=yes;9;-nzecite/înzecit, -ntreite/întreit, -nsutite/însutit, -nşesite/înşesit
Mmfpr-y;Numeral Type=multiple Gender=feminine Number=plural Case=direct Definiteness=yes;9;înzecitele/înzecit, întreitele/întreit, însutitele/însutit, înşesitele/înşesit
Mmfpr-yy;Numeral Type=multiple Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes;9;-nzecitele/înzecit, -ntreitele/întreit, -nsutitele/însutit, -nşesitele/înşesit
Mmfpo-y;Numeral Type=multiple Gender=feminine Number=plural Case=oblique Definiteness=yes;9;înzecitelor/înzecit, întreitelor/întreit, însutitelor/însutit
Mmfpo-yy;Numeral Type=multiple Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes;9;-nzecitelor/înzecit, -ntreitelor/întreit, -nsutitelor/însutit
Ml-pr;Numeral Type=collect Number=plural Case=direct;2;tuspatru, câteşipatru
Ml-po;Numeral Type=collect Number=plural Case=oblique;2;amânduror/amândoi, amândurora/amândoi
Mlmpr;Numeral Type=collect Gender=masculine Number=plural Case=direct;4;tustrei, câteşitrei, ambii, amândoi
Mlmpo;Numeral Type=collect Gender=masculine Number=plural Case=oblique;1;ambilor/ambii
Mlfpr;Numeral Type=collect Gender=feminine Number=plural Case=direct;4;tustrele, câteşitrele, ambele/ambii, amândouă/amândoi
Mlfpo;Numeral Type=collect Gender=feminine Number=plural Case=oblique;1;ambelor/ambii
Qz;Particle Type=negative;1;nu
Qz-y;Particle Type=negative Clitic=yes;1;n-/nu
Qn;Particle Type=infinitive;1;a
Qn-y;Particle Type=infinitive Clitic=yes;1;-a/a
Qs;Particle Type=subjunctive;2;s-/să, să
Qf;Particle Type=future;2;o, -o
I;Interjection;207;ziua-bună, zdup, zbughi, zău, zapa-zapa, vur, vum, vivat, vîrşti
